epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3519.36,2.09717,1.96554,2.19845,0.7831,0.32611,0.3879,0.18524,1.93822,1.9206,2.17565,0.000848969,0.000848969,0.000848969
43,3591.36,2.08387,1.92092,2.15381,0.75099,0.31112,0.37503,0.15775,1.97744,1.9804,2.17869,0.000834822,0.000834822,0.000834822
44,3664.36,2.06194,1.9769,2.17858,0.71437,0.32972,0.35942,0.17838,1.89873,1.84924,2.17413,0.000820675,0.000820675,0.000820675
45,3744.67,2.00655,1.89642,2.13368,0.74991,0.31194,0.36558,0.17808,1.90129,1.84179,2.14674,0.000806528,0.000806528,0.000806528
46,3821.6,2.01715,1.90303,2.17066,0.77475,0.33025,0.36874,0.17719,1.96647,1.90597,2.19953,0.00079238,0.00079238,0.00079238
47,3897.1,1.98895,1.89408,2.18151,0.78725,0.32664,0.38336,0.17044,1.91094,1.84831,2.14211,0.000778233,0.000778233,0.000778233
48,3973.29,1.98783,1.85696,2.09414,0.79042,0.34384,0.40622,0.18859,1.88774,1.7919,2.12134,0.000764086,0.000764086,0.000764086
49,4049.21,1.96172,1.84342,2.08617,0.76417,0.39147,0.4119,0.19315,1.90556,1.74286,2.11042,0.000749939,0.000749939,0.000749939
50,4124.59,1.98921,1.81386,2.10486,0.78036,0.36469,0.42709,0.20312,1.83767,1.74501,2.06529,0.000735792,0.000735792,0.000735792
51,4202.09,1.9285,1.81427,2.06836,0.75646,0.39553,0.44091,0.21741,1.81475,1.73073,2.00959,0.000721645,0.000721645,0.000721645
52,4278.59,1.95076,1.83163,2.0982,0.7649,0.36008,0.40838,0.20052,1.80716,1.77521,2.04431,0.000707498,0.000707498,0.000707498
53,4353.6,1.92701,1.81303,2.04822,0.78165,0.35703,0.425,0.21538,1.8078,1.78731,2.03522,0.000693351,0.000693351,0.000693351
54,4429.34,1.88535,1.75184,2.00106,0.78465,0.411,0.4331,0.21785,1.78547,1.67846,2.00524,0.000679204,0.000679204,0.000679204
55,4506.57,1.85873,1.72005,1.9925,0.77908,0.395,0.44003,0.21834,1.7846,1.64581,2.01857,0.000665057,0.000665057,0.000665057
56,4585.35,1.86579,1.66497,1.97254,0.78539,0.38367,0.44524,0.22175,1.7798,1.65236,2.00852,0.000650909,0.000650909,0.000650909
57,4661.8,1.89802,1.68602,1.98094,0.79158,0.39066,0.45432,0.22875,1.77701,1.71374,1.99246,0.000636762,0.000636762,0.000636762
58,4737.69,1.84436,1.68492,2.00188,0.76693,0.38372,0.44475,0.22271,1.74892,1.6502,1.99182,0.000622615,0.000622615,0.000622615
59,4816.82,1.87047,1.68487,2.00849,0.7786,0.37246,0.43167,0.21203,1.74183,1.66185,1.99899,0.000608468,0.000608468,0.000608468
60,4894.79,1.82878,1.65566,1.96064,0.77274,0.42134,0.44538,0.22229,1.72674,1.64975,1.96106,0.000594321,0.000594321,0.000594321
61,4966.62,1.86334,1.66405,1.96657,0.79556,0.39328,0.44341,0.21731,1.73589,1.66084,1.9301,0.000580174,0.000580174,0.000580174
62,5037.95,1.83603,1.65465,1.9402,0.79579,0.38381,0.43858,0.22743,1.73152,1.63793,1.9558,0.000566027,0.000566027,0.000566027
63,5110.68,1.84034,1.69024,1.96046,0.7771,0.41241,0.46494,0.24216,1.69636,1.59257,1.91862,0.00055188,0.00055188,0.00055188
64,5181.58,1.79287,1.65236,1.93335,0.77868,0.37588,0.45626,0.22995,1.73429,1.62311,1.95754,0.000537733,0.000537733,0.000537733
65,5255.94,1.76795,1.63591,1.87908,0.78256,0.38363,0.44807,0.22507,1.70911,1.63417,1.92164,0.000523586,0.000523586,0.000523586
66,5330.44,1.78232,1.65528,1.91082,0.7859,0.41411,0.47499,0.24481,1.67212,1.52246,1.88288,0.000509438,0.000509438,0.000509438
67,5409.4,1.82111,1.60749,1.91361,0.80855,0.42178,0.47101,0.23966,1.66007,1.50741,1.88366,0.000495291,0.000495291,0.000495291
68,5488.55,1.79847,1.66134,1.97703,0.78263,0.38238,0.44256,0.23271,1.69358,1.59315,1.94089,0.000481144,0.000481144,0.000481144
69,5571.45,1.7879,1.64225,1.92144,0.81784,0.39109,0.45401,0.24111,1.6695,1.53915,1.91216,0.000466997,0.000466997,0.000466997
70,5644.51,1.82019,1.62706,1.89048,0.80667,0.41222,0.47358,0.24188,1.66216,1.51604,1.88194,0.00045285,0.00045285,0.00045285
71,5720.12,1.80372,1.6136,1.87857,0.80743,0.37211,0.44959,0.22909,1.70345,1.61104,1.92265,0.000438703,0.000438703,0.000438703
72,5793.87,1.80595,1.66788,1.89726,0.73994,0.45038,0.47601,0.24297,1.70607,1.52712,1.90221,0.000424556,0.000424556,0.000424556
73,5868.53,1.72898,1.58615,1.86733,0.77083,0.45252,0.49842,0.2713,1.67469,1.53671,1.89389,0.000410409,0.000410409,0.000410409
74,5942.28,1.74253,1.59762,1.89618,0.82573,0.42667,0.49962,0.26776,1.63272,1.45163,1.8756,0.000396262,0.000396262,0.000396262
75,6016.11,1.75551,1.56707,1.90648,0.7597,0.43621,0.50033,0.2628,1.67177,1.46985,1.89254,0.000382115,0.000382115,0.000382115
76,6089.78,1.71439,1.57352,1.87134,0.80447,0.39878,0.4599,0.24055,1.64721,1.55914,1.8787,0.000367967,0.000367967,0.000367967
77,6164.46,1.71059,1.58587,1.84315,0.80288,0.45101,0.49511,0.2628,1.63262,1.50558,1.85546,0.00035382,0.00035382,0.00035382
78,6236.98,1.71838,1.57525,1.89121,0.79428,0.42592,0.51325,0.27963,1.63832,1.44894,1.88074,0.000339673,0.000339673,0.000339673
